,Date,Open,High,Low,Close,Volume,Market Cap
0,2018-01-01,14112.2001953125,14112.2001953125,13154.7001953125,13657.2001953125,10291200000.0,229119155396.0
1,2018-01-02,13625.0,15444.599609375,13163.599609375,14982.099609375,16846600192.0,251377913955.0
2,2018-01-03,14978.2001953125,15572.7998046875,14844.5,15201.0,16871900160.0,255080562912.0
3,2018-01-04,15270.7001953125,15739.7001953125,14522.2001953125,15599.2001953125,21783199744.0,261795321110.0
4,2018-01-05,15477.2001953125,17705.19921875,15202.7998046875,17429.5,23840899072.0,292544135538.0
5,2018-01-06,17462.099609375,17712.400390625,16764.599609375,17527.0,18314600448.0,294217423675.0
6,2018-01-07,17527.30078125,17579.599609375,16087.7001953125,16477.599609375,15866000384.0,276634797271.0
7,2018-01-08,16476.19921875,16537.900390625,14208.2001953125,15170.099609375,18413899776.0,254715263101.0
8,2018-01-09,15123.7001953125,15497.5,14424.0,14595.400390625,16659999744.0,245095808695.0
9,2018-01-10,14588.5,14973.2998046875,13691.2001953125,14973.2998046875,18500800512.0,251472635522.0
10,2018-01-11,14968.2001953125,15018.7998046875,13105.900390625,13405.7998046875,16534099968.0,225178724050.0
11,2018-01-12,13453.900390625,14229.900390625,13158.099609375,13980.599609375,12065699840.0,234865160377.0
12,2018-01-13,13952.400390625,14659.5,13952.400390625,14360.2001953125,12763599872.0,241268592240.0
13,2018-01-14,14370.7998046875,14511.7998046875,13268.0,13772.0,11084099584.0,231413491364.0
14,2018-01-15,13767.2998046875,14445.5,13641.7001953125,13819.7998046875,12750799872.0,232242775485.0
15,2018-01-16,13836.099609375,13843.099609375,10194.900390625,11490.5,18853799936.0,193121120762.0
16,2018-01-17,11431.099609375,11678.0,9402.2900390625,11188.599609375,18830600192.0,188070430523.0
17,2018-01-18,11198.7998046875,12107.2998046875,10942.5,11474.900390625,15020399616.0,192907550324.0
18,2018-01-19,11429.7998046875,11992.7998046875,11172.099609375,11607.400390625,10740400128.0,195158837709.0
19,2018-01-20,11656.2001953125,13103.0,11656.2001953125,12899.2001953125,11801700352.0,216907619830.0
20,2018-01-21,12889.2001953125,12895.900390625,11288.2001953125,11600.099609375,9935179776.0,195089460991.0
21,2018-01-22,11633.099609375,11966.400390625,10240.2001953125,10931.400390625,10537400320.0,183866421285.0
22,2018-01-23,10944.5,11377.599609375,10129.7001953125,10868.400390625,9660609536.0,182830257191.0
23,2018-01-24,10903.400390625,11501.400390625,10639.7998046875,11359.400390625,9940989952.0,191115225673.0
24,2018-01-25,11421.7001953125,11785.7001953125,11057.400390625,11259.400390625,8873169920.0,189455303273.0
25,2018-01-26,11256.0,11656.7001953125,10470.2998046875,11171.400390625,9746199552.0,187995804677.0
26,2018-01-27,11174.900390625,11614.900390625,10989.2001953125,11440.7001953125,7583269888.0,192550550498.0
27,2018-01-28,11475.2998046875,12040.2998046875,11475.2998046875,11786.2998046875,8350360064.0,198389948175.0
