,Date,Open,High,Low,Close,Volume,Market Cap
58,2018-02-28,0.9446970224,0.955550015,0.9037870169,0.9045829773,329529984.0,35364493451.2
59,2018-03-01,0.9041309953,0.9537960291,0.8906300068,0.9283469915,475256992.0,36293542330.5
60,2018-03-02,0.9266380072,0.9339119792,0.9022859931,0.9101439714,271036000.0,35579309844.2
61,2018-03-03,0.9087859988,0.9265120029,0.903603971,0.9078040123,280852992.0,35487834665.5
62,2018-03-04,0.9060080051,1.026309967,0.8956180215,1.0055400133,797225984.0,39308526146.2
63,2018-03-05,1.0142899752,1.0802099705,0.9561160207,0.9593679905,1706819968.0,37503572321.1
64,2018-03-06,0.9544479847,0.9913060069,0.9168630242,0.9228870273,875180032.0,36077458648.5
65,2018-03-07,0.9243779778,0.9306589961,0.8248950243,0.8712099791,809598016.0,34057303601.8
66,2018-03-08,0.8725079894,0.8885620236,0.825387001,0.8258569837,499496000.0,32284366089.3
67,2018-03-09,0.8261219859,0.8561819792,0.7514849901,0.8497610092,989203008.0,33218820222.4
68,2018-03-10,0.8548719883,0.860442996,0.793735981,0.7966269851,402670016.0,31141708194.8
69,2018-03-11,0.7957649827,0.8404070139,0.7757369876,0.8311219811,472972000.0,32490185241.4
70,2018-03-12,0.8321269751,0.8383280039,0.7878819704,0.8010479808,355031008.0,31314533735.4
71,2018-03-13,0.7984510064,0.805728972,0.778470993,0.7897109985,279679008.0,30871158541.6
72,2018-03-14,0.7895690203,0.7990800142,0.6760100126,0.7019019723,479148992.0,27438554006.0
73,2018-03-15,0.7029129863,0.7306730151,0.6438450217,0.6972690225,888345024.0,27257442083.4
74,2018-03-16,0.6990630031,0.7117800117,0.6744629741,0.689260006,502740000.0,26944356525.8
75,2018-03-17,0.6877449751,0.6894339919,0.6267089844,0.6378560066,319824000.0,24934885930.0
76,2018-03-18,0.6344659925,0.6775910258,0.548815012,0.6587769985,923606016.0,25752723731.3
77,2018-03-19,0.6721259952,0.7490800023,0.6400120258,0.7490800023,1096930048.0,29284604562.7
78,2018-03-20,0.736759007,0.736759007,0.6734269857,0.709807992,814275968.0,27749301270.2
79,2018-03-21,0.7130550146,0.7206100225,0.6791620255,0.6936640143,527324000.0,27118166203.1
80,2018-03-22,0.6931449771,0.701350987,0.6367409825,0.6627429724,449041984.0,25909425482.8
81,2018-03-23,0.6631109715,0.6631109715,0.6252580285,0.6431739926,387164000.0,25144390548.8
82,2018-03-24,0.6462140083,0.6796079874,0.6405159831,0.6412649751,390740000.0,25069759668.9
83,2018-03-25,0.6386319995,0.6572129726,0.6319010258,0.6418750286,229352000.0,25093607147.5
84,2018-03-26,0.6426830292,0.6441209912,0.5859220028,0.599462986,384504992.0,23435542779.3
85,2018-03-27,0.5990260243,0.6043319702,0.5651320219,0.5779169798,351380992.0,22593218558.0
86,2018-03-28,0.5775110126,0.5940229893,0.5728279948,0.578001976,258298000.0,22596541567.3
87,2018-03-29,0.5777670145,0.5786399841,0.5115110278,0.5115110278,420550016.0,19997127299.9
88,2018-03-30,0.5132679939,0.5312759876,0.4843620062,0.5095649958,518219008.0,19921199401.3
89,2018-03-31,0.5106170177,0.5294060111,0.5051670074,0.512353003,293208000.0,20030194924.8
90,2018-04-01,0.5138540268,0.515437007,0.4662230015,0.4850809872,297868992.0,18964009158.3
91,2018-04-02,0.4860669971,0.510446012,0.4785960019,0.5006880164,262342000.0,19574157341.7
92,2018-04-03,0.5015329719,0.5626980066,0.4996579885,0.5580440164,578238976.0,21816462666.5
93,2018-04-04,0.554569006,0.5631170273,0.4984869957,0.5016310215,415257984.0,19611023474.6
94,2018-04-05,0.5019500256,0.5058820248,0.4844900072,0.4958010018,358755008.0,19383102419.4
95,2018-04-06,0.4947809875,0.498089999,0.4656150043,0.4764310122,218156000.0,18625841554.9
96,2018-04-07,0.4768509865,0.4956670105,0.4745750129,0.4878669977,209076000.0,19072926492.8
97,2018-04-08,0.4882270098,0.5014179945,0.4875909984,0.5003979802,137548000.0,19562819930.7
98,2018-04-09,0.501200974,0.5121420026,0.4825730026,0.4918549955,271775008.0,19228835441.0
99,2018-04-10,0.4921340048,0.4936450124,0.4828389883,0.4919309914,154495008.0,19231806624.6
100,2018-04-11,0.4925679862,0.5484549999,0.48902601,0.5395060182,341707008.0,21091728443.2
101,2018-04-12,0.5386570096,0.6445180178,0.5065429807,0.6287369728,1346739968.0,24597948739.8
102,2018-04-13,0.6300929785,0.6931120157,0.6058160067,0.6380869746,1245170048.0,24963746872.7
103,2018-04-14,0.6373800039,0.6615080237,0.6163070202,0.6321840286,626268032.0,24732805014.1
104,2018-04-15,0.6348829865,0.6825339794,0.6341429949,0.6825339794,609636992.0,26702637740.7
105,2018-04-16,0.6822959781,0.6871650219,0.6386100054,0.6632969975,531996000.0,25950032533.9
106,2018-04-17,0.6648899913,0.6773560047,0.6543459892,0.6569330096,442352992.0,25701055066.7
107,2018-04-18,0.6570519805,0.7214260101,0.6570519805,0.7089319825,624049024.0,27735401282.3
108,2018-04-19,0.712059021,0.791975975,0.706840992,0.791975975,878328000.0,30984314667.6
109,2018-04-20,0.7911720276,0.9383540154,0.7911720276,0.9244650006,2344069888.0,36167654650.1
110,2018-04-21,0.9250209928,0.9250209928,0.8211129904,0.8731030226,1563970048.0,34158229654.9
111,2018-04-22,0.8668199778,0.9119009972,0.8480910063,0.869994998,946398976.0,34036636008.2
112,2018-04-23,0.8665779829,0.8862900138,0.863304019,0.8766570091,674545024.0,34317793232.3
113,2018-04-24,0.8760120273,0.9656100273,0.8735659719,0.9347810149,1572930048.0,36593127158.6
114,2018-04-25,0.9327710271,0.9327710271,0.7792310119,0.8006070256,1614050048.0,31340724463.9
115,2018-04-26,0.801774025,0.852414012,0.7717869878,0.852414012,1028590016.0,33368771823.3
116,2018-04-27,0.851139009,0.8596410155,0.8138849735,0.8138849735,673793024.0,31860507752.6
117,2018-04-28,0.8120629787,0.8875910044,0.8120629787,0.8638039827,788718976.0,33814647080.0
118,2018-04-29,0.8643990159,0.9049450159,0.8344799876,0.8727779984,896313984.0,34165945109.3
119,2018-04-30,0.8714039922,0.8767880201,0.8312079906,0.8379380107,575363968.0,32802091382.9
120,2018-05-01,0.8383550048,0.8420689702,0.7978259921,0.841407001,630809024.0,32944324344.5
121,2018-05-02,0.8393549919,0.8642799854,0.8317130208,0.8590940237,544425984.0,33636838507.9
122,2018-05-03,0.85898,0.8929160237,0.8473190069,0.8844659925,725228992.0,34651838438.6
123,2018-05-04,0.8815360069,0.9276949763,0.8669220209,0.895442009,1007609984.0,35081859014.5
124,2018-05-05,0.8955619931,0.9223539829,0.8955619931,0.9051030278,668800000.0,35460360179.3
125,2018-05-06,0.9042350054,0.9186750054,0.855971992,0.8714240193,640057024.0,34140875578.6
126,2018-05-07,0.8712139726,0.8712360263,0.8129330277,0.8326410055,602534976.0,32621425141.7
127,2018-05-08,0.8330860138,0.8469920158,0.8035680056,0.8139700294,465040992.0,31889927859.2
128,2018-05-09,0.8133929968,0.8199689984,0.7702999711,0.8020430207,611574976.0,31422648758.5
129,2018-05-10,0.803211987,0.8089140058,0.7573419809,0.7582370043,399324000.0,29706405924.2
130,2018-05-11,0.7565780282,0.761326015,0.6560260057,0.6849480271,991409024.0,26843090365.4
131,2018-05-12,0.6857720017,0.7149180174,0.6397709846,0.6967350245,596684992.0,27305022521.0
132,2018-05-13,0.6980850101,0.7589769959,0.6809710264,0.7457479835,532488000.0,29225840434.3
133,2018-05-14,0.7447010279,0.7569829822,0.7076929808,0.7408980131,613462016.0,29035769088.3
134,2018-05-15,0.738937974,0.7522690296,0.6926670074,0.6985880136,422980000.0,27377641532.1
135,2018-05-16,0.6959199905,0.7140809894,0.6694380045,0.7140809894,429641984.0,27984811710.1
136,2018-05-17,0.7133880258,0.7146180272,0.6612129807,0.6673099995,337999008.0,26151857705.6
137,2018-05-18,0.6654000282,0.6856250167,0.6533899903,0.6802939773,344944000.0,26660700253.2
138,2018-05-19,0.6807590127,0.6904500127,0.6658959985,0.6767129898,249039008.0,26520360976.9
139,2018-05-20,0.6772580147,0.7046139836,0.6733480096,0.7002440095,275614016.0,27442540119.6
140,2018-05-21,0.7004410028,0.703050971,0.6762030125,0.6815869808,250480992.0,26711372882.1
141,2018-05-22,0.6821510196,0.6829329729,0.6445879936,0.6455669999,234712992.0,25299750226.1
142,2018-05-23,0.6486340165,0.6491209865,0.5869969726,0.599593997,482480992.0,23498069816.3
143,2018-05-24,0.599206984,0.6402580142,0.5892720222,0.6319969893,440532992.0,24767942357.1
144,2018-05-25,0.6329240203,0.6362079978,0.6033340096,0.6110010147,289816000.0,23945109784.0
145,2018-05-26,0.6101179719,0.6264939904,0.6037999988,0.6127079725,213242000.0,24012007059.8
146,2018-05-27,0.6120399833,0.612883985,0.6033279896,0.6078810096,186963008.0,23822837083.1
147,2018-05-28,0.6083679795,0.6097810268,0.5522990227,0.5522990227,327903008.0,21644580268.4
148,2018-05-29,0.5560839772,0.6107490063,0.5516350269,0.6012409925,380744000.0,23562615694.0
149,2018-05-30,0.6037690043,0.6276789904,0.5900580287,0.6058170199,320604992.0,23741948988.6
150,2018-05-31,0.6034520268,0.6216359735,0.5960890055,0.6126220226,283328000.0,24008636722.5
151,2018-06-01,0.6128929853,0.6248239875,0.6090689898,0.6233639717,263088000.0,24461754518.7
152,2018-06-02,0.6234620214,0.6489819884,0.619476974,0.6434509754,315206016.0,25249999048.4
153,2018-06-03,0.643411994,0.673593998,0.6408910155,0.6712049842,327804000.0,26339108356.8
154,2018-06-04,0.6924660206,0.7036229968,0.644603014,0.6614249945,558131008.0,25955326234.0
155,2018-06-05,0.6618980169,0.6838399768,0.6414279938,0.6770150065,386328000.0,26567101622.0
156,2018-06-06,0.6779010296,0.6816679835,0.6600589752,0.6747969985,273966016.0,26480063917.7
157,2018-06-07,0.6753129959,0.6882230043,0.6731460094,0.6781280041,244568000.0,26612667216.8
158,2018-06-08,0.677586019,0.6796680093,0.6608039737,0.6743429899,221887008.0,26464127493.6
159,2018-06-09,0.6747779846,0.6788930297,0.6597549915,0.6597549915,175990000.0,25891631461.4
160,2018-06-10,0.65951401,0.65951401,0.5612369776,0.5881260037,492555008.0,23080600594.0
161,2018-06-11,0.5861979723,0.6040660143,0.5687209964,0.6040660143,336547008.0,23706154936.8
162,2018-06-12,0.6021360159,0.6021389961,0.5566530228,0.5629330277,309544000.0,22091918626.5
163,2018-06-13,0.5628449917,0.5646420121,0.5170360208,0.5346630216,359864992.0,20982481909.3
164,2018-06-14,0.5354350209,0.5705900192,0.5266140103,0.5613059998,379824992.0,22028624987.0
165,2018-06-15,0.5600619912,0.5600619912,0.534300983,0.5377069712,241684992.0,21102475042.0
166,2018-06-16,0.5371059775,0.5392929912,0.5235880017,0.534784019,202682000.0,20987761016.4
167,2018-06-17,0.5355359912,0.5388810039,0.5252150297,0.5282160044,166028000.0,20729997855.3
168,2018-06-18,0.5288199782,0.5477939844,0.5118330121,0.5374950171,276527008.0,21094155037.4
169,2018-06-19,0.538613975,0.5580589771,0.5345950127,0.549620986,255400000.0,21570043601.9
170,2018-06-20,0.5497379899,0.5505539775,0.5258589983,0.5392860174,256920000.0,21164443378.0
171,2018-06-21,0.5392280221,0.5470070243,0.5306969881,0.5347750187,194312000.0,20987407808.6
172,2018-06-22,0.5350909829,0.5350909829,0.477286011,0.486947,339428992.0,19110383376.6
173,2018-06-23,0.4873090088,0.4967130125,0.480874002,0.4912840128,204927008.0,19280590262.9
174,2018-06-24,0.4917730093,0.4937250018,0.4500479996,0.4773800075,369520000.0,18734923546.7
175,2018-06-25,0.477106005,0.491109997,0.4755600095,0.4817529917,231728992.0,18914626969.1
176,2018-06-26,0.4823809862,0.4828720093,0.4560010135,0.4560010135,179426000.0,17903549770.4
177,2018-06-27,0.4555509984,0.4727579951,0.4519599974,0.4703699946,215618000.0,18467712720.6
178,2018-06-28,0.4703299999,0.4716829956,0.4457499981,0.4484579861,220566000.0,17607401644.0
179,2018-06-29,0.4483540058,0.4583399892,0.4273020029,0.4530799985,309777984.0,17788871057.8
180,2018-06-30,0.4541119933,0.4801470041,0.4541119933,0.4662449956,345528992.0,18305756569.2
181,2018-07-01,0.4659439921,0.4662800133,0.4508160055,0.4613580108,267224992.0,18113882699.5
182,2018-07-02,0.4616059959,0.4889239967,0.453839004,0.4861220121,335919008.0,19086169277.8
183,2018-07-03,0.4862590134,0.5156959891,0.4808430076,0.4852229953,410225984.0,19050872652.3
184,2018-07-04,0.4855839908,0.5036039948,0.4757739902,0.4900430143,313828992.0,19240115961.4
185,2018-07-05,0.4904220104,0.4974020123,0.4729659855,0.4816249907,279999008.0,18909774936.8
186,2018-07-06,0.4805789888,0.4814729989,0.4624139965,0.4791510105,245003008.0,18812639648.6
187,2018-07-07,0.4786170125,0.4924769998,0.4677160084,0.4924769998,214979008.0,19335850986.9
188,2018-07-08,0.4923189878,0.4948950112,0.4759660065,0.4777489901,226644000.0,18757593701.1
189,2018-07-09,0.477290988,0.4807739854,0.4726530015,0.4742699862,206344992.0,18620999655.9
190,2018-07-10,0.4738549888,0.4743359983,0.4432609975,0.4450420141,230418000.0,17473436921.7
191,2018-07-11,0.4451270103,0.4525449872,0.4435740113,0.4502330124,183887008.0,17677248272.3
192,2018-07-12,0.4498820007,0.4499720037,0.4280329943,0.4353640079,182139008.0,17093454981.8
193,2018-07-13,0.4365139902,0.4445079863,0.4348050058,0.4387409985,179403008.0,17226044257.6
194,2018-07-14,0.4385609925,0.4416460097,0.4338949919,0.439271003,134840992.0,17246853353.3
195,2018-07-15,0.4390949905,0.4489870071,0.4371939898,0.4458940029,152903008.0,17506888524.6
196,2018-07-16,0.4464130104,0.4834010005,0.4445050061,0.4834010005,269283008.0,18979505038.6
197,2018-07-17,0.4813010097,0.5166040063,0.4700480103,0.5055869818,347700000.0,19850581637.1
198,2018-07-18,0.5051180124,0.5195599794,0.4772340059,0.4863890111,367988992.0,19096821223.5
199,2018-07-19,0.4875769913,0.4912370145,0.4717240036,0.4764330089,293942016.0,18731289025.5
200,2018-07-20,0.476485014,0.476485014,0.4364829957,0.4469940066,295403008.0,17573874619.7
201,2018-07-21,0.4462189972,0.4587549865,0.4383180141,0.4554100037,180339008.0,17904755411.8
202,2018-07-22,0.4550020099,0.4609889984,0.4491400123,0.4493109882,158906000.0,17664969058.3
203,2018-07-23,0.4491209984,0.4617829919,0.4444980025,0.4452759922,194542000.0,17506330275.5
204,2018-07-24,0.445558995,0.4668189883,0.438564986,0.4576230049,319956000.0,17991761019.3
205,2018-07-25,0.4558419883,0.4655260146,0.4507189989,0.4598290026,255872000.0,18078491417.1
