,Date,Open,High,Low,Close,Volume,Market Cap
0,2018-01-01,8.629529953,8.7005701065,7.9592199326,8.4146099091,66422800.0,833164194.54
1,2018-01-02,8.4576997757,9.122590065,8.2171802521,8.837770462,104789000.0,875062958.78
2,2018-01-03,8.7701396942,9.5807800293,8.5291795731,9.5358800888,108852000.0,944185622.32
3,2018-01-04,9.4458398819,9.5384902954,8.8541297913,9.2139902115,158819008.0,912314005.86
4,2018-01-05,9.1456804276,16.7176990509,9.0946798325,14.9172000885,341504992.0,1477011640.8
5,2018-01-06,14.8689002991,23.5081996918,14.8212003708,22.7597999573,637020992.0,2253538837.2
6,2018-01-07,22.7691001892,22.7691001892,18.2425003052,18.6567993164,258050000.0,1847284395.2
7,2018-01-08,18.6464996338,19.2166996002,15.3471002579,18.2609004974,296617984.0,1808084752.6
8,2018-01-09,18.1739997864,20.3202991486,16.801399231,17.4118003845,194750000.0,1724011965.2
9,2018-01-10,17.7078990936,17.7078990936,15.170800209,17.3908004761,146582000.0,1721932671.2
10,2018-01-11,17.5666007996,23.1525001526,15.2862997055,21.0426998138,389228000.0,2083521897.8
11,2018-01-12,21.4757995605,24.9120998383,19.9304008484,22.3162994385,387537984.0,2209626128.2
12,2018-01-13,22.3453006744,23.6669006348,21.3733997345,22.1744003296,181676000.0,2195576041.6
13,2018-01-14,22.2534999847,22.2534999847,19.1380004883,20.777299881,129239000.0,2057243582.2
14,2018-01-15,20.8003997803,23.6047992706,19.3309001923,19.564699173,244154000.0,1937179205.8
15,2018-01-16,19.6340007782,19.6340007782,10.4350004196,13.8919000626,399951008.0,1375492586.6
16,2018-01-17,13.623000145,15.5377998352,9.6553401947,14.2032003403,299411008.0,1406315644.8
17,2018-01-18,14.2505998611,15.9596004486,13.5127000809,14.2804002762,204899008.0,1413959525.6
18,2018-01-19,14.3106002808,15.6351003647,13.9890003204,14.9406003952,139882000.0,1479328568.4
19,2018-01-20,15.0341997147,16.6523990631,15.0341997147,16.1902999878,156744992.0,1603066364.2
20,2018-01-21,16.2488994598,16.2488994598,13.3591003418,14.0683002472,141562000.0,1392958656.2
21,2018-01-22,14.1986999512,14.4503002167,11.9146003723,13.0145998001,138026000.0,1288627604.4
22,2018-01-23,13.0015001297,13.9626998901,11.7849998474,13.0935001373,91706200.0,1296439809.0
23,2018-01-24,13.1906003952,14.1906003952,12.7891998291,13.6287002563,105736000.0,1349432101.8
24,2018-01-25,13.7604999542,14.1373996735,13.0649995804,13.2284002304,105648000.0,1309796797.6
25,2018-01-26,13.2109003067,13.5904998779,12.2946996689,13.2181997299,113429000.0,1308786854.8
26,2018-01-27,13.2332000732,13.4413995743,12.894200325,13.2530002594,84009400.0,1312232542.0
27,2018-01-28,13.3016996384,13.8125,13.2038002014,13.5402002335,93871104.0,1340669362.8
28,2018-01-29,13.5453996658,13.6726999283,12.6770000458,12.7644996643,71294304.0,1263864203.0
29,2018-01-30,12.7735996246,12.7735996246,11.057100296,11.2506999969,59389600.0,1113976809.8
30,2018-01-31,11.2683000565,11.4132003784,10.568400383,11.1450004578,50435000.0,1103511030.0
31,2018-02-01,11.1782999039,11.3943996429,8.7074203491,9.5158395767,82984200.0,942201381.76
32,2018-02-02,9.407959938,10.4584999084,7.2181301117,9.6522903442,91468200.0,955711842.06
33,2018-02-03,9.6966600418,10.2723999023,8.6116800308,9.7496795654,56556200.0,965354815.52
34,2018-02-04,9.745639801,9.745639801,8.1027498245,8.4586400986,49990000.0,837523780.96
35,2018-02-05,8.4275302887,8.5517196655,6.1296100616,6.7050299644,55276900.0,663891840.42
36,2018-02-06,6.8062701225,8.5555400848,5.5900697708,8.2888498306,97189904.0,820712193.9
37,2018-02-07,8.3152799606,9.2249698639,7.3510298729,8.0950098038,77970304.0,801519320.14
38,2018-02-08,8.0937204361,8.7212200165,8.0937204361,8.5954999924,82496000.0,851074837.0
39,2018-02-09,8.6066598892,9.8892698288,8.3431501389,9.7304601669,9284.19,963451766.44
40,2018-02-10,9.7327299118,10.3632001877,8.8485202789,9.2559700012,80123200.0,916470613.58
41,2018-02-11,9.2008695602,9.3454799652,8.1444501877,8.7049102783,68554600.0,861907958.74
42,2018-02-12,8.7114496231,9.4037504196,8.7114496231,9.3224697113,50792600.0,923055044.58
43,2018-02-13,9.3176698685,9.3479404449,8.7733697891,8.9867801666,41593400.0,889817034.92
44,2018-02-14,9.0159101486,10.6498003006,8.990240097,10.4006004333,68781600.0,1029805008.4
45,2018-02-15,10.3907003403,11.2839002609,10.1012001038,10.9310998917,108962000.0,1082331935.4
